"","caption","photo_id","business_id","label"
"170202","","cGlXHiGcIdweykIgpcKwrg","k-tg18rWRibZ4jKpoqhb0Q","food"
"147228","","qQmJh1C23B2fFmjbbcCrAA","hgtLScZVfyxSg351g0D0dA","food"
"192387","","eulyXauiHmOziba0btmS0Q","YoDLrSlxF-ofSvuJTK9fzw","inside"
"87022","","coDo_j4-56jC61fCuXHMnA","yIJuo-bYlcEvzJZUVFXblQ","food"
"112084","Awesome Food","DbnXef0Pz-C9zLW0mJ5LAQ","fXUJ9d5R6kNXrnAouByB6g","outside"
"98302","First time here for my Mom's 92nd Birthday. Great food great service and everything fresh.","ZV9mCLLieYxr4dZRrwmE8w","0jKTaXuuQ-l5PWL4jZnNQw","food"
"150418","Spicy chicken feet","TGc4doMM7MiPyV-p7yQpPA","PYoGpgAUDgT6OMxD_fe79g","food"
"150210","40 piece sushi platter","1urKCRH8eLxWpvkz0F0I8w","lQ0qpDUpPRwTh0Vecj58Qw","food"
"136286","","vhP_JZ-0KRyh0OVJ7mf7Xw","lwxYmWqjmEZ0ukCsXC9Pfg","food"
"161376","","cXQvELcZAFo_NTyPZk1yTQ","mB_cI1tCrNxxvr2e2myNrQ","food"
"108211","","cKAYTYER_mV-MPMNJ2K-Ig","-bd4BQcl1ekgo7avaFngIw","inside"
"50007","","v6jhLvVo7YXUl6q1JXtnFg","RodA_gxhr2Mj-pyQAL2RAQ","food"
"139331","Steak frites","TUBxaUlt1I820tlnEue2cA","UxWH8zRYIBgs6Q2oykvRdw","food"
"168259","Super cute interior","fv9iwxlWMmOe6EA4rOUqsQ","6Or07nY9iiSSJf-Kaf0GMw","inside"
"130432","","it7heSmeSvKupXkAHRdQeA","0Yh6U06nGLjAMwCw6l9-DA","food"
"93026","","mS5mUozCUeJmmghjmukm_Q","wQFQcNgb8O1QL_FhdR4u0w","food"
"26878","","4TVhnTyjoJv19YEcAcgbcg","KDF3qxIYv1OkqtSUl4PwGQ","inside"
"80635","","k_BfVdBqF3qZD4X0KubAKw","7BZ2NdkysVLgWScSEvhILQ","inside"
"78864","back patio.","86QHzo7XzbzAg4mKLWhhbA","N0i3Hw7BVNNG17GwZwpg6w","outside"
"89211","","0uQRa6sCdIftPAQzJGTzow","bM-rAr7gxsxxjD-FlRcIJA","inside"
"56651","Hakkasan Las Vegas Dining Room","W3bXVqDMZGwbAy8f4-9Z-g","kICgNgVRkIh4doz0atyMMA","inside"
"122803","","9uOOr19BYegseuXSYUBqpA","0ZQCJO-btoKOk3mErTYKwA","inside"
"179013","Happy National Cheeseburger Day 9/18/2018","67MlAfOaHDP-ZgmQ93QC3w","nVAJZ6BJ9PPlxDXn976R6A","food"
"16723","YT Hummus","atxznwObkVDx2zje-3MU-g","VmPosmQpBlHBqdCXMzIwxA","food"
"13424","Beef Meat Pie","Qpnuy1TKY6rqdKryomBivg","qDM-yZ9320Vkkt97UG1uqw","food"
"177157","Three Cheese Ravioli","wgcS6My_ciysTe-zIxhZXw","-AliE9BXGQl8pIrdlpCOxQ","food"
"66877","","Yv5qDC5FgG_j8OTL1jk3_Q","MKYcOZSpMwJK7uwacK13EA","drink"
"191064","","_r-fVnoo0WIRqsHlndN3Pw","55Xfg68u5Xpb69Wuo5j5lg","drink"
"139910","","EQSakGNSw4D6imWVg890wg","HUTDbniG4URIGfkP8e_cfA","outside"
"99529","","UNkRMs1qc94Ent3w7LN9lg","wUPoQpzy_LKWMO_pgBgkBg","food"
"148493","Cheesy Mac Bites","npstFuZPrrrrW-3tRtEGcw","80Lkm305ZOkQdMEIvOy_lw","food"
"132413","","QwA29AFcaSfoqGTcnjr-NQ","JpgVl3d20CMRNjf1DVnzGA","inside"
"40752","Inside Barrio Correano","4MKz7TqwXho5vPkfH4Ax3A","CsS9WsonGYyE3vINi5bxSg","inside"
"142369","","iTJVCNHJ5vindPJCvYI_XA","d4P7boUqiA2pR59jOlzYLA","inside"
"30479","Tableside Guacamole","afhpDym2L9Jang1WMfec-g","0ydy2fdDg6kpGy1dbnHYsQ","food"
"108724","","4LdrpJ35IxjNNJ8NFQ1APQ","QcnlGRG0TBds4HvzVwT7QQ","food"
"71180","","hVa-1dpcw5vDJPj4-yAZRw","YCVAc-MG8--2An9erAo7NQ","food"
"13543","","9qep8RDFURCT0z4ZJNXeAg","r-Vzn1yEA1IWjkvTdvUXDQ","inside"
"14370","","kit1hOB9AJr2z37tgmUyBQ","Kgu-Ny8xoYtiUQp0wa7vwQ","drink"
"91281","","SPIqvSOFS8cErBSPiZlG-A","56ywniMwQ1QcDP8-Zumz6A","food"
"145865","","xMg5DCNX-4PDkC6SJ3wSMQ","2weQS-RnoOBhb1KsHKyoSQ","inside"
"171115","","u9jaTc4WMaWH3nmY2YF9XQ","yHHVKa9joZAKiBDUp2SkKw","inside"
"25388","","7Z5Mukt8DL8YL47tg0GY6A","yH46BOVzysmA9Jn9Bs1tJw","food"
"26174","","xstC_pXadfT388EovUzqrw","jW_hNGlYJw2Q2ssYDHihfg","drink"
"137931","","bgjior85hOSQs-xEj9SssQ","m5Rlap-pE7f2kNMhCJJbSw","food"
"59520","Brisket","wo_j8sJFcpYCDIq0TdvnSA","RyDiwx4xD3Lx8sWHx1aFlQ","food"
"80388","Swat Rolls, Shrimp tempura appitizer, and baked green mussels AYCE!","1_hUB9PVmK9Viy_m6m566w","xfzDtGxx6B4a27RAyah69w","food"
"180007","","IUqfoh7u-Dk5HiuTsz_UPA","JyxHvtj-syke7m9rbza7mA","food"
"198704","McDonald's Quarter Pounder with Cheese Extra Value Meal","myril1vdBbtBjdG7zVgLHg","d24LIT55-aAr7l1X99vpjw","food"
"105880","","EQ95_5mvxSFSj8pgc-K1dg","HeK37yyPEv8I4MJU2dVh4A","inside"
"145086","","j1EVNIh_h3PDk0u7OCdxKA","efOtTiIqTvLijm3kIYgqPQ","outside"
"139965","Gluten free pizza is really good","En3smLG-TdANTfLZFEgKzQ","iD-D6tIN7o17HIb8bbxuXQ","food"
"189016","","uFQg75EJBQ_AT6B3g3hZNA","9d_eZEMaU7RLteMi9BnkKQ","outside"
"59813","","xU11CzH1cmSkYhDtiYj7HA","FmwDfn5J7Y8Uvv_FY7iUxQ","inside"
"9256","","CcAb0pJb65HfBuX4mOoC9Q","s7xHM_edyIpyerNvZygSTQ","food"
"189732","Thin Pepperoni and Bacon","f_x9xqoUncV5uXZEk6_9ag","cFmranpzNq60YuAJDwCWVQ","food"
"22025","","uY0LusLDPFG9RgkXDAc6dQ","S9Mq_9OmsL-_azC4Kczl4w","inside"
"48298","Greek salad....don't for get to add Gyro or Grilled Chicken","wyjPsYeM2vwINMDHZhlKBA","GQxpWDw3MuCwAMV9BA-62w","food"
"93909","Juice machine!","GTe76DgjtVrunWJtYf4ZVQ","mQqdGjf2YQSorUooA3zdSQ","inside"
"6333","creme brulee","KY_jywwzqYgAvhJpDiQofQ","ujHiaprwCQ5ewziu0Vi9rw","food"
"129708","","A4ZjK3rYN2FfWppnJWU4oQ","ZJ0gQp0fcnIDiZv0m9--Gg","food"
"6596","Raviolo Di Stracotto (Duck liver & balsamic vinegar)","bm50rd_qiYAoQgPc54P8MA","7fxebHYUwIF6CakxSr70iQ","food"
"177091","Sliced beef in hot chili oil","nBCy4wO8sZfbSRzWP_cBLQ","QG56Fy7JQ_9XgAwtj7fhjw","food"
"167398","","uIdxVyRm-MCtPEd2Mlw_qw","1Qs8-7DUkIYrQVjBzFqdnA","food"
"183636","","LUsNISdnfDZTBi2XIoF6qg","6HMcRdUxH3xyo5dr45iWcg","food"
"55824","Television","nW0gVAXAWqdfFyV30tzBNA","cYwJA2A6I12KNkm2rtXd5g","inside"
"37659","Only 33 bucks and its was all delicious.","JH2UG5LbmzREkMz7kVieNA","t5nyOtnEv455rShOS_g3RA","food"
"44736","","H7FQiJ24FuqPYZ3m9UehaA","U_sZ5xC0GT78krjPyYLOPw","outside"
"67515","","CKE2B6134Nsxq46uczcWWA","eaNenRk_liZBERFFLCXqqQ","food"
"121926","bulgogi bento AWESOME????","vACOCywKL-Rn6-MdXMeFKw","kkD0tv_e5E6a8kRpLYEcaA","food"
"25608","","6IHQMWhfOqccwZtTSkn9tA","IeH7I-29vKD5w9v9pX5KYw","menu"
"8631","Great looking, huh?","yjnvK4K6gY0asKdRJsboFw","Y-hmtitiRfg7vmc3N-lTww","inside"
"109489","","DsWIMPLy2Yluh9a9uBoCJg","-Lgj3gdQZiVngAEc1yALzw","food"
"187135","","uzZ0CsLZaCszajjpButlRA","aEZ_EoArhpjV2p0q5MXFMA","food"
"38078","Spider Roll","jZpBzB0jTSFUnPZEyVka7g","3vs6rARRBm-O99y4bryilw","food"
"5125","Sake (salmon)","_08oJ8zGdDcnPqh0r4_Suw","pB9ZZGJaApSw2PMcOTc8og","food"
"75074","","Tp7li07tVKKf4VQwq0gXzg","mGbcBNERCYYCqOsr_RPb8g","outside"
"176140","","nf3siHbplvveZoY-S0ZP9Q","fQt4D34vcJNtEf8Q4zte3w","food"
"22620","","z-Q3LaL3fht1bGasMHMkaw","XC06xxb7FFYsXcI2E38IIw","inside"
"115484","","g6YpeNB98RqROfRJMwtmmQ","OD2dbQTKN7FS01fHzZqqzA","outside"
"81535","","bF1DjemHAaHaGJPizUb2Bg","OY-QPfMdLueBtJgne_9KzQ","food"
"68454","","v-eC94DLmPGH_99WG_s6BA","tyAzb3qkrqT8QLdATbtFIQ","food"
"129536","Abalone, duck feet, and snow peas","fmdj5ZEToeuVNRAhF4jJJw","eI1ZHGOr2Pus842KrZD5ZQ","food"
"157523","McDonald's All Day Breakfast Sandwiches","ox1JTbJe1ETnDZQbaGWWxw","GiUvdPq6S-g7c10IV7cTHA","food"
"135424","","_qrCLRokCinGkdBbLDfx3A","MbPCvZV36HpAhZuSgrsjoQ","drink"
"183167","Mayfield Roll is one of my favorites at The Golden Dragon","Qy9z4AMhWGbQTSysSF5xtA","qbDaSyxDfUZNheucJym2Pg","food"
"80880","","xPW17Ar7SiwGC2UhN7VgQA","3jKUbhGSjFTv5jZ0wnW0xA","inside"
"82973","Sake shelf in dining area","UpZUQSmqMFCtoTS3IpOhOQ","ghVhlFpNhfBwWDFGSlt2JA","inside"
"57394","","bS-XqNOYJjAFs5OnIYxZFw","yYL95YmG-2lI33G9ZLseyQ","food"
"8871","Creme Brulee","RfkPH_MsoqjHt6np03dIag","6H8xfhoZ2IGa3eNiY5FqLA","food"
"121001","","nihTu7fonwkG5TYCK944nQ","R3TC2oq8fQK9c9BNMZ-ynA","food"
"177703","Mongolian beef chow mein","mVoQ0xMdf-NIBY-A-MAFhw","EvE23d1PSbfGWe7EA5HRBQ","food"
"61746","Thai fish taco.","qgNzGp-Ttg8f3wJBHCmEyA","e1UamnCdP9DdJRF6kOk80g","food"
"172663","Lunch Menu","QInpRLaCFKUZFs7E-akR6Q","wSwRG4rrcZmA5zF5ZO_GEw","food"
"71741","","wGalez2yG0EuvZ236vHc2Q","V1EdIokE0YYN__dNYfXRdA","food"
"23802","","BdCixGVVi65cy-Q23t11zg","nyM76RUyFzekHHmYEU-KBQ","food"
"55582","Benedicts | Ben & Florentine","I63IMp_Iaa_H-hDDw85xCA","FHNzaHrGXMwgQHwQh3JJzQ","food"
"154525","Precious Selfie","XVkTiFLzLHN6cnaQcUhv7w","3xmfT7l3xNH5LK1dLzfvGw","inside"
"190367","Shredded Duck / Chicken Super Bowl Congee","5zUEu5XAqpm_vUbRbXH0Gw","E7eOOXwMC7wwCRywsvNzUA","food"
"87048","","s1AGdg6vsksdnYSEb6_o_w","xDFk4SbJiRXlUuuL1Ic6GA","food"
"156422","McDonald's Dessert Menu Items","ExEFlSzL8MBZ-Kz7OvzsKg","4FdXVA-WxWwc5rmjRPJVnQ","food"
"151695","Octopus","Nyi51P5-8AqmNkY_RtX0OQ","I6Xa5eF9Jv9VM6ms_dkY8A","food"
"184459","","njTnQqyYbxBq2fiFJePDag","QCCVxVRt1amqv0AaEWSKkg","food"
"199824","","eUUSncRY9rkPhxs4IFf-Ww","N0XLFVLBqOhRAOMjTVlpzQ","food"
"58037","Tembleque","f2RwQNYL4wqqD6ZNm5Jx5A","E7C8xUC0oSNOpRl1vMTMzA","food"
"20682","Pork ribs and Greek yogurt-based chimichurri potato salad.","LGm8Tg1KCgAkhiE5HifUoA","BJRh7_SnU9zK9YzyO6FlHQ","food"
"27234","Interior of Private Dining Room","gfjYleVrBnLMo1AD0bYyxw","QE1tzFyyyRKV1p7C4LRukQ","inside"
"113601","","yXJ-xNIgscyMpDiS3uCsFA","0C1qx56oVXIkDvnl4CN8tQ","food"
"6453","Molletes de Camaron","MuHvg1U5eV0g8SXzovDPfw","1Fa_brd85F_-gXYP45GpsA","food"
"138484","Whiskey Sour","YqO3QJWkIS9loxHMYQrLIA","kz7O0_o6WrDQk1Kl8dKeHQ","drink"
"88106","","EVz41s5WD8xl3g3Wjuo5yw","lKom12WnYEjH5FFemK3M1Q","food"
"97792","","KkUWde8coyQ-s74EGMd4Yw","OETh78qcgDltvHULowwhJg","food"
"144567","Gelato","xdlyZxraipmsaB4_4X8XKw","CdxWhFBtjl0LBqlQEfxX8A","drink"
"28699","","RCen2cBJwOeaunTXBBmjxw","9X935zq92IQDnl1n23PivA","food"
"61163","Sweet & Spicy Meatballs","hycxoo-MqN8jC7RP3x2Tqg","qELIf4gzE_vlteu7pO7TZg","food"
"143968","Protein Waffle","2RDD6v3gwfytnr1FC9Lb0Q","Sxx0E2KvnNCSqlIhbD0l_g","food"
"28347","Meaty Breakfast Burrito","ufuGRGTcF5LbTNaWEQeZJA","Ws3AWw9WPWDdpUQjhkXcxg","food"
"69851","Cool looking lounge lamp.","N02WcPV5DNCOlcdh4kAVAg","gZ4VtOCDgK5jkPoE79RVEg","inside"
"171086","","QZHUn2a0yqAVRgOL_upDjQ","u9I76w2uQ8QwYfriy02E1g","inside"
"128864","","JWMr5_cYNxuwvoMCL4krYQ","bbSb-uviEUNlCw1bitAmQg","food"
"74973","","j-XtT9_epvCHTJg8td1bxw","0WoQQlMXVIDEgI0xNdENKA","inside"
"49535","1897 local market grabs.","JDTRoneW36sVecfiVze6iw","MtSEQlqTj3Pup-wBY-dKfA","inside"
"103109","","v9Yrg0DdiXSzOi-Q0jVwRg","beuVp5CZxCdNvQIIPBS2rw","food"
"104051","","ZzpP4h7gZN0-otbL7fNQkA","3pfAT4rgf8MmnoAPhkcU3A","food"
"81893","Seafood Salad","uJ8sz-Zv-Qxb9ycsvBrMZw","BwbPzuEuIN_oFmNRJIgHlg","food"
"3236","Turning Japanese (bottom), Bee Keeper (top)","CFTfyO4ECHX-XXiKAuhNvA","2UgRg5a6KmpbD_SZfhNrKg","drink"
"83498","","soLqIf9kQTKtJjgsMWxHTA","d_L-rfS1vT3JMzgCUGtiow","drink"
"188613","","hJP2HZi53DMRP-vxEjtaOw","a09M-1wnwc7MLyPYDqjJJw","food"
"64461","Veal Sorentina","ls8xidb2UexzC1kExBVcxg","fi6s29AbDqLjoQ1LSe5lrg","food"
"63795","Roomy","h5hxfWjdV0NSPAOERlJkdA","UYop9KYT-_mJsc2bcH83jw","inside"
"37291","Interior","fGWbq5cBQvi93FHV5NvVNA","cYwJA2A6I12KNkm2rtXd5g","inside"
"183471","Classic Broccoli Chicken Alfredo","8K5aF2clxteibeVDGZEUiw","x_AmiOc8DPAyHe5VeoDYEw","food"
"147422","","G9A3-wFDL1Svwfc_bp3xyg","4tmDq6jkFMQ3eac-BkF1jw","inside"
"69011","","I1FF_D2Gi8eEWQY0epJMpA","LR0qF0FEVsCOhYWUOiH26A","food"
"42191","Allie Olive Verdi- Roasted Green Olive / Pecorino, Alla Ricotta E Miele- Ricotta Cheese, Honey / Guanciale E Fave- Fava Beans, Pork Cheek","bQLrZOKkq7kSp44JLhoQww","SeNOJ2zYHziptxLuiRINLg","food"
"122299","12 huitres!","bzJX-VqtuW3fd7GvcjEMVQ","2lqPBsK4Q32yWvnlYqXoIA","food"
"33858","","S4zP_ASBXO4ohFH8vaHTgg","TeHl9XewPDV8ep7oHRkHXg","outside"
"125627","","y1kxTPEEcex6rrpIHPaAXA","LelAlfuj5oVRF9CQdWLsNQ","inside"
"170207","saag panner","AANbIQSPvCcYfvzlIq41BA","GLkhy9rE2TyBqFCjl24eAA","food"
"94651","Breakfast Bowl","AAveDXfsTMlxJ4pVFp4v5g","KDiVhKB9UneT548hThK8hw","food"
"28553","One of the best Beef bulgogis in town","XHmoG3NOmDbVela7z-vZcw","KBUjHejDR4Ttsx8TcqWENQ","food"
"188691","CRAFTkitchen Catering 11/2/18:  Chocolate Hazelnut Bar","WYI2SyMkD1GMwVLl1W-zzg","i9D9xPBV0gR1Ja9kbY4NCw","food"
"180481","There are multiple TVs in the restaurant","-eJOXzIENU4gM-H-rdf4Rg","Ug705ve-b_E0ztOHsKsgSw","inside"
"2451","Cinnamon Roll","l5Ew8awM_9zI2lyIfKNtUw","JfGnBe_IGDV0RZjAADp4yA","food"
"94337","","XNyY-qGFrQrrAK2zzubXkw","gOOc6MDdhw7fV0Tf30mfAQ","food"
"107699","","ShqqEyJTqikqFoF2a2QrPw","ItqPtxnayraXSlBS0EMOgg","inside"
"13281",".","aycv1as-BsqiI5psDkP-nA","aKEEQqL1UFMieilnylI1gw","outside"
"130051","Tinola - ANG SARAP TALAGA!","JBxGTSOSG5N0q0FHrbJDUw","jJZwQj3Pwv1OMZ8bQpKxnw","food"
"8986","","3_pw2ATvtH3b9NRhIbxb_Q","Twcjx4ofM9GWwXN6LVGSzw","drink"
"65004","","LwrN-RVeE1YZb-ZQEXc37g","UzsXZoePcmt6RWo00qNNAw","inside"
"34313","A handmade Cosmopolitan from the full service bar","WKxx48KoQqj60YQ-KzqgDA","WFhyXqN6VwKJElj-BrRp_Q","drink"
"75898","Ono Hawaiian BBQ - Fresh Mix Salad with Chicken","F-v5awh3y5-gkWQY7dAfEg","70umoFq_Wa24Nr78UOsilQ","food"
"170179","","c7aLepU4l2zFFD5XrXZJsg","zaLFPpm-t89qSDOaFVgwDQ","food"
"1190","","nKpmFSVCu0HTO693-PCrXw","PBEUEK39haiJhQzuW4tnYQ","food"
"147201","","SgQHlfOQc4bqtceZgoEPGA","drr3d_VhJ7ZtBkMeeNIPOQ","food"
"155093","","nXNQwEclDQ8driL9fEBTyA","As3IAxnxayV1-7g4c3wA5Q","food"
"163868","Got A sweet tooth - Try Our Line Up of Sweet Paranthas","eRknh-Vj9FUAxR0YH2wGtA","v9VCOZbkQJxdw4-iY1ZXZQ","food"
"153428","Taco salad","WvyqeOai7NZg2OxbWgQg6A","svdEhLmNmpVaIv1WLtoOvQ","food"
"108820","","uiBQ0cTX8cMaiZbfsSbiMA","xIjZkeTFyiAaVu_wDhwicg","inside"
"98904","Bar","AAlixXTSDtdf7tUo5vRf3w","3i8QcSgFgGQdc_2eikQd7g","inside"
"152095","","cebNemhA8wTcf93vnOLw5A","n2kgJSiB7Q4u7AkDvYfzlg","food"
"47802","","kEC0eX9b8-3QAy0VGIC6SQ","-T0PYhlC2vrXoG2L7LjCGg","inside"
"160755","Everyone making pizzas","N9e4SVdcuKti9TEewXFo0Q","QGTktEHxPfgpxrcO4Q4l-g","inside"
"1694","","y6j8KV5fM9M8lSs-JbWSeQ","mUdalYTuAtnZm2K9zoH27Q","food"
"106859","Business Center","d7p1X-f_A9haACHINePQNQ","Z3dJG3W9xrxegM5j8ny74w","inside"
"105606","","HppGYAk-vRgHi00_TxInJA","Jnw072ogcKlp758gI_PTjQ","drink"
"152840","","e2lUQRDoH3JaUx7kN-p_EA","7EZ4Eu7YJ1ltRCC5jXFJrQ","food"
"126847","","B6FWvF0mW0QIFxAoaYnfNg","LvNQkpggm72kJUTzO0juWQ","drink"
"147917","Tomato Salad : Hearts of Palm, Coconut, Avocado & Coconut Vinaigrette. Great dressing, subtle sweetness.","o9nUVE0xY00R2sXO39_q-A","qmIHO-6T_KEfPC9jyGDamQ","food"
"100799","","HvYxLNZ4c4iwvp3YLUxIaQ","YBE7FO11s32f6BEpTAJ5Rw","food"
"4665","","K6To5ROO7rFg313UW3FHfw","i7qF0eFoe35Cedn_seUm1w","drink"
"131522","","yxUuILaM7-d1-Y3G6zd-lA","33Tr0eRki1Yamzleu4GMdw","food"
"147752","veggie flatbread - arugula oil, baby spinach, grilled eggplant, roasted peppers, feta.","o7YKOAdSU3BKPqZFmhIVTg","BWJEU3H4rP0RHNO6Ywv0Pw","food"
"121677","Steak over cook","A5HRdwNukHMCqOlKwNIC1w","X3NMHQqicl2ARwIjwNFERQ","food"
"101633","Elegant Bar","3wSkC7l-LXQndIV23077Bg","8hnEVC9ytSfv8y-qQZef5Q","inside"
"112450","","OTrU6yfpQ9q8cksyofZiNg","xlXwxfiUD4bgJFKUYwkzOg","food"
"23234","Smoked Sweetbread, Raw Tuna, Persimmon and Brown Butter","4Y2hzEsAdl28mmMNc-GoWw","q5xrVJ4kivx_yEfJeOKNYQ","food"
"191098","New buffet area","Rx6Paq0rnmkPuPNWjCQ1Ig","7-p1-QG4a1-kWoPFI2mUYg","inside"
"59271","Lentil soup","Wn3uBYMp2eo8hI1xhvcfYw","ofpuVYCw6VCkybFVIdwYEQ","food"
"185033","Lebanese Chicken Shawarma","m-dk7dK_szfPuLPGjFuKaw","Ofr0PzgcDOv9Fy5xqsbGhQ","food"
"152500","Carrot Cake Pancakes","OV3VKcCOOrwTQLWFdFc32g","IWN2heYitkg-D4UdqfxcMA","food"
